Validator,PT_VERSION,2.5.0
Validator,ROCBLAS_VERSION,4.2.0-54f305c1-dirty
Validator,HIPBLASLT_VERSION,1000-e6da924d
Validator,ROCM_VERSION,6.2.0.0-66-98a50c5
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
GemmTunableOp_Half_TN,tn_128256_32768_4096,Gemm_Hipblaslt_TN_91189,56.7609
GemmTunableOp_Half_TN,tn_128256_248_4096,Gemm_Hipblaslt_TN_90348,0.603476
GemmTunableOp_Half_TN,tn_128256_184_4096,Gemm_Hipblaslt_TN_91178,0.503072
GemmTunableOp_Half_TN,tn_128256_1_4096,Gemm_Rocblas_621282253,0.277947
GemmTunableOp_Half_TN,tn_128256_120_4096,Gemm_Hipblaslt_TN_90287,0.393214
GemmTunableOp_Half_TN,tn_13312_256_16384,Gemm_Hipblaslt_TN_90544,0.300468
GemmTunableOp_Half_TN,tn_1280_96_8192,Gemm_Rocblas_621282190,0.0269266
GemmTunableOp_Half_TN,tn_1280_232_8192,Gemm_Rocblas_621282194,0.0355688
GemmTunableOp_Half_TN,tn_16032_216_16384,Gemm_Hipblaslt_TN_90806,0.320199
GemmTunableOp_Half_TN,tn_16032_32768_8192,Gemm_Rocblas_621282506,12.5541
GemmTunableOp_Half_TN,tn_8192_248_1024,Gemm_Rocblas_621282206,0.0243367
GemmTunableOp_Half_TN,tn_1280_192_8192,Gemm_Rocblas_621282192,0.0333234
GemmTunableOp_Half_TN,tn_13312_72_16384,Gemm_Hipblaslt_TN_90703,0.167377
GemmTunableOp_Half_TN,tn_1280_128_8192,Gemm_Rocblas_621282190,0.0275051
GemmTunableOp_Half_TN,tn_16032_168_8192,Gemm_Hipblaslt_TN_90785,0.145688
GemmTunableOp_Half_TN,tn_1280_160_8192,Gemm_Rocblas_621282190,0.0307688
GemmTunableOp_Half_TN,tn_16032_1_8192,Gemm_Rocblas_621282214,0.0616229
GemmTunableOp_Half_TN,tn_16032_112_8192,Gemm_Rocblas_621282235,0.101143
